Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Inflation Rate,S&P 500 (Real),T. Bill (Real),T.Bond (Real),Year.1,Nominal value of $100 invested in 1928,Real value of $100 invested in 1928,Unnamed: 14,Stocks,T. Bills,T. Bonds
2001.0,-0.11849759142000185,0.03399354838709678,0.055721811892492555,0.0160367,-0.1324108582101431,0.017673424972834972,0.039058738618883204,2001.0,125622.00708807123,10236.238268302084,75th percentile,0.2597,0.0506,0.0854
2002.0,-0.219660479579127,0.0160532,0.15116400378109285,0.0248027,-0.23854658031163167,-0.00853774097199389,0.12330305509645223,2002.0,98027.81676541301,12876.738149486113,75th percentile,0.2597,0.0506,0.0854
2003.0,0.2835580005001023,0.0100836,0.003753185881775853,0.020352000000000002,0.2579560783926551,-0.010063585899767857,-0.016267733211895563,2003.0,125824.38848080393,13798.855374829365,75th percentile,0.2597,0.0506,0.0854
2004.0,0.10742775944096193,0.0137464,0.04490683702274547,0.0334232,0.07161108773342972,-0.019040408614786286,0.0111122307131728,2004.0,139341.42061832585,13998.607428102932,75th percentile,0.2597,0.0506,0.0854
2005.0,0.048344775232688535,0.0314916,0.028675329597779506,0.0333855,0.014475987163249604,-0.0018327139291194339,-0.004557999316054384,2005.0,146077.8502787223,15785.719720510555,75th percentile,0.2597,0.0506,0.0854
2006.0,0.15612557979315703,0.0473,0.019610012417568386,0.0252398,0.1276635766511962,0.021517112386780113,-0.00549119101934159,2006.0,168884.33934842583,15994.34731212733,75th percentile,0.2597,0.0506,0.0854
2007.0,0.054847352464217694,0.04361952191235059,0.10209921930012807,0.0410881,0.013216222973077452,0.002431515557953734,0.058603224165301615,2007.0,178147.19823435548,10150.294854708603,75th percentile,0.2597,0.0506,0.0854
2008.0,-0.3655234411179819,0.013713147410358567,0.20101279926977011,-0.0002223,-0.36538236561785886,0.013938545949123249,0.20127984377904218,2008.0,113030.22131020659,12432.920268684666,75th percentile,0.2597,0.0506,0.0854
2009.0,0.2593523387766398,0.0015052,-0.11116695313259162,0.028141199999999998,0.2248826705676612,-0.025906947411503456,-0.13549515682533853,2009.0,142344.87355944986,14073.270774773415,75th percentile,0.2597,0.0506,0.0854
2010.0,0.14821092278719414,0.001384462151394422,0.08462933880355772,0.014377899999999999,0.1319360593198986,-0.012809267481680764,0.06925568745489996,2010.0,163441.9386237224,13941.67682922177,75th percentile,0.2597,0.0506,0.0854
2011.0,0.0209837473362805,0.0005283999999999999,0.16035334999461354,0.030620699999999997,-0.00935062983279833,-0.02919822976580999,0.12587817224572873,2011.0,166871.5629679545,15877.722345231465,75th percentile,0.2597,0.0506,0.0854
2012.0,0.15890585241730293,0.0008759999999999999,0.02971571978018946,0.017595,0.13886747912214847,-0.01642991563441243,0.011911143215315834,2012.0,193388.43092558492,20668.941806199975,75th percentile,0.2597,0.0506,0.0854
2013.0,0.32145085858125483,0.0005708,-0.09104568794347262,0.0151284,0.30175735264746284,-0.014340648926776223,-0.10459178163419791,2013.0,255553.30808629587,23312.04104408531,75th percentile,0.2597,0.0506,0.0854
2014.0,0.13524421649462237,0.0003272,0.10746180452004755,0.0065312,0.12787782087095012,-0.006163743359371199,0.10027568397288378,2014.0,290115.4150110358,23483.495049845395,75th percentile,0.2597,0.0506,0.0854
2015.0,0.013788916411676138,0.0005203187250996015,0.012842996709792224,0.006387199999999999,0.007354740214975175,-0.005829646158954094,0.006414823946282455,2015.0,294115.79221836175,25720.744878328165,75th percentile,0.2597,0.0506,0.0854
2016.0,0.11773080874798171,0.0031612000000000003,0.006905504698747792,0.020508000000000002,0.09526903145098498,-0.016998200896024218,-0.013329141272044986,2016.0,328742.28230178286,30625.533218156794,75th percentile,0.2597,0.0506,0.0854
2017.0,0.2160548143449928,0.0093412,0.028017162707789457,0.0212993,0.19069386843307612,-0.011708712617349293,0.0065777610028612266,2017.0,399768.63507184375,28755.24273055091,75th percentile,0.2597,0.0506,0.0854
2018.0,-0.04226869289088544,0.01936305220883534,-0.00016692385713402633,0.0200238,-0.061069646503233876,-0.0006477768373293058,-0.01979436544238866,2018.0,382870.93740858353,36876.90908537149,75th percentile,0.2597,0.0506,0.0854
2019.0,0.31211679996808755,0.0206248,0.09635630741548393,0.0231399,0.2824412379656853,-0.0024582171020797183,0.07156050449746298,2019.0,502371.3891933326,42955.420989888364,75th percentile,0.2597,0.0506,0.0854
2020.0,0.18023201827422478,0.003547410358565737,0.1133189764661412,0.0132204,0.16483246712583433,-0.009546777425162634,0.09879250009784779,2020.0,592914.798590873,51480.5859471952,75th percentile,0.2597,0.0506,0.0854
2021.0,0.2846885175196416,0.000450199203187251,-0.04416034448604475,0.0719446,0.19846540345428454,-0.06669598484549721,-0.10831244869002066,2021.0,761710.8336171656,39639.9981113462,75th percentile,0.2597,0.0506,0.0854
2022.0,-0.18037505927178585,0.02024779116465863,-0.1782817153825067,0.0644494,-0.23000103083508328,-0.04152532646017881,-0.22803443299653947,2022.0,624317.1968555079,48458.54649652214,75th percentile,0.2597,0.0506,0.0854
2023.0,0.26060684985024096,0.05070361445783132,0.0388,0.031200000000000002,0.22246591335360844,0.018913512856702175,0.007370054305663398,2023.0,787018.5348353545,48458.54649652214,75th percentile,0.2597,0.0506,0.0854
2023.0,0.26060684985024096,0.05070361445783132,0.0388,0.031191075000000006,0.22246591335360844,0.018913512856702175,0.007370054305663398,2023.0,787018.5348353545,48458.54649652214,75th percentile,0.2597,0.0506,0.0854
