Date,stock_weight,bond_weight,portfolio_value
2021-10-08,0.5,0.5,10538.385942787834
2021-10-12,0.5,0.5,10494.042418352718
2021-10-13,0.5,0.5,10444.135354606504
2021-10-14,0.5,0.5,10476.28907631023
2021-10-15,0.5,0.5,10591.285847059466
2021-10-18,0.5,0.5,10630.65551030688
2021-10-19,0.5,0.5,10716.236075585239
2021-10-20,0.5,0.5,10764.52725503839
2021-10-21,0.5,0.5,10873.167448991228
2021-10-22,0.5,0.5,10882.99795943305
2021-10-25,0.5,0.5,10826.854020193121
2021-10-26,0.5,0.5,10833.468245509468
2021-10-27,0.5,0.5,10671.933332781124
2021-10-28,0.5,0.5,10760.471425922213
2021-10-29,0.5,0.5,10772.794370886924
2021-11-01,0.5,0.5,10884.616195641272
2021-11-02,0.5,0.5,10829.49688708763
2021-11-03,0.5,0.5,10911.35000938583
2021-11-04,0.5,0.5,10812.430993648502
2021-11-05,0.5,0.5,10705.297915732648
2021-11-08,0.5,0.5,10776.626110283338
2021-11-09,0.5,0.5,10669.539747934825
2021-11-10,0.5,0.5,10894.350722091307
2021-11-12,0.5,0.5,10996.707213538528
2021-11-15,0.5,0.5,11080.189882105595
2021-11-16,0.5,0.5,11173.442592413012
2021-11-17,0.5,0.5,11109.344131656728
2021-11-18,0.5,0.5,11093.817869598597
2021-11-19,0.5,0.5,11031.694161610896
2021-11-22,0.5,0.5,11257.43740474321
2021-11-23,0.5,0.5,11300.925288689523
2021-11-24,0.5,0.5,11305.109554960178
2021-11-26,0.5,0.5,11045.39512138483
2021-11-29,0.5,0.5,11103.479137910965
2021-11-30,0.5,0.5,11023.417496521046
2021-12-01,0.5,0.5,11055.695398364924
2021-12-02,0.5,0.5,11059.509627470254
2021-12-03,0.5,0.5,10884.772174240123
2021-12-06,0.5,0.5,11035.300309390646
2021-12-07,0.5,0.5,11180.491652708504
2021-12-08,0.5,0.5,11241.600603246306
2021-12-09,0.5,0.5,11205.974591757624
2021-12-10,0.5,0.5,11251.768896677899
2021-12-13,0.5,0.5,11128.166293543447
2021-12-14,0.5,0.5,11117.68798320271
2021-12-15,0.5,0.5,11251.748266481627
2021-12-16,0.5,0.5,11179.136537337166
2021-12-17,0.5,0.5,11077.81672693287
2021-12-20,0.5,0.5,11032.453047649535
2021-12-21,0.5,0.5,11203.596815915545
2021-12-22,0.5,0.5,11188.427639497157
2021-12-23,0.5,0.5,11311.74636651511
2021-12-27,0.5,0.5,11348.32737293821
2021-12-28,0.5,0.5,11342.572629502502
2021-12-29,0.5,0.5,11411.789288603863
2021-12-30,0.5,0.5,11369.422631190691
2021-12-31,0.5,0.5,11343.297761286163
2022-01-03,0.5,0.5,11596.267915294116
2022-01-04,0.5,0.5,11646.502964017842
2022-01-05,0.5,0.5,11692.236721517293
2022-01-06,0.5,0.5,11674.096765591003
2022-01-07,0.5,0.5,11699.347978894155
2022-01-10,0.5,0.5,11725.03753281547
2022-01-11,0.5,0.5,11730.98903491778
2022-01-12,0.5,0.5,11751.162360299604
2022-01-13,0.5,0.5,11745.346953416894
2022-01-14,0.5,0.5,11786.27883758806
2022-01-18,0.5,0.5,11948.724882416882
2022-01-19,0.5,0.5,11855.411133304013
2022-01-20,0.5,0.5,11865.561600203973
2022-01-21,0.5,0.5,11660.20237572101
2022-01-24,0.5,0.5,11560.100818438936
2022-01-25,0.5,0.5,11639.38109024257
2022-01-26,0.5,0.5,11803.660884315306
2022-01-27,0.5,0.5,11814.44167072973
2022-01-28,0.5,0.5,11841.231121894229
2022-01-31,0.5,0.5,11996.556692054983
2022-02-01,0.5,0.5,12041.176492868271
2022-02-02,0.5,0.5,12035.505596603773
2022-02-03,0.5,0.5,12076.259752062122
2022-02-04,0.5,0.5,12330.757274772981
2022-02-07,0.5,0.5,12285.468126997373
2022-02-08,0.5,0.5,12361.646194536823
2022-02-09,0.5,0.5,12399.681498293143
2022-02-10,0.5,0.5,12674.202692122357
2022-02-11,0.5,0.5,12504.65927990466
2022-02-14,0.5,0.5,12491.00625061765
2022-02-15,0.5,0.5,12617.72011921105
2022-02-16,0.5,0.5,12682.090396468275
2022-02-17,0.5,0.5,12573.817852939948
2022-02-18,0.5,0.5,12487.106010649293
2022-02-22,0.5,0.5,12521.783325956747
2022-02-23,0.5,0.5,12572.212963791333
2022-02-24,0.5,0.5,12583.800096817013
2022-02-25,0.5,0.5,12716.546091503124
2022-02-28,0.5,0.5,12523.543674683277
2022-03-01,0.5,0.5,12327.511425275754
2022-03-02,0.5,0.5,12686.488159665974
2022-03-03,0.5,0.5,12688.590342759231
2022-03-04,0.5,0.5,12501.294445396845
2022-03-07,0.5,0.5,12639.303470417377
2022-03-08,0.5,0.5,12881.174084936338
2022-03-09,0.5,0.5,12991.442378754353
2022-03-10,0.5,0.5,13096.817032210094
2022-03-11,0.5,0.5,13169.216137408317
2022-03-14,0.5,0.5,13346.431377785524
2022-03-15,0.5,0.5,13419.9860144921
2022-03-16,0.5,0.5,13539.668777790219
2022-03-17,0.5,0.5,13493.346887242931
2022-03-18,0.5,0.5,13479.740173284268
2022-03-21,0.5,0.5,13752.628774918983
2022-03-22,0.5,0.5,13851.959527299909
2022-03-23,0.5,0.5,13725.799492749487
2022-03-24,0.5,0.5,13812.265470620481
2022-03-25,0.5,0.5,14077.575809083062
2022-03-28,0.5,0.5,14104.816612077091
2022-03-29,0.5,0.5,14050.183828996769
2022-03-30,0.5,0.5,13940.556114676321
2022-03-31,0.5,0.5,13807.60747184527
2022-04-01,0.5,0.5,13822.215744958881
2022-04-04,0.5,0.5,13894.075696085041
2022-04-05,0.5,0.5,14080.453654988236
2022-04-06,0.5,0.5,14037.384974848557
2022-04-07,0.5,0.5,14101.257966390507
2022-04-08,0.5,0.5,14248.13306440265
2022-04-11,0.5,0.5,14287.980220639356
2022-04-12,0.5,0.5,14208.419703231964
2022-04-13,0.5,0.5,14163.110923419443
2022-04-14,0.5,0.5,14336.929835966375
2022-04-18,0.5,0.5,14328.19756647867
2022-04-19,0.5,0.5,14569.045928567037
2022-04-20,0.5,0.5,14526.271973734703
2022-04-21,0.5,0.5,14744.616891639664
2022-04-22,0.5,0.5,14590.009261039537
2022-04-25,0.5,0.5,14341.402680534902
2022-04-26,0.5,0.5,14237.2932085456
2022-04-27,0.5,0.5,14227.098616580677
2022-04-28,0.5,0.5,14444.073541667196
2022-04-29,0.5,0.5,14465.267145286425
2022-05-02,0.5,0.5,14500.789130114776
2022-05-03,0.5,0.5,14503.568897088062
2022-05-04,0.5,0.5,14588.792698224603
2022-05-05,0.5,0.5,14713.660987482683
2022-05-06,0.5,0.5,14603.421233603816
2022-05-09,0.5,0.5,14452.7305996175
2022-05-10,0.5,0.5,14332.591050239324
2022-05-11,0.5,0.5,14232.095373741822
2022-05-12,0.5,0.5,13985.126383690296
2022-05-13,0.5,0.5,14279.922773134114
2022-05-16,0.5,0.5,14244.194715986005
2022-05-17,0.5,0.5,14486.578536896212
2022-05-18,0.5,0.5,14368.931422979202
2022-05-19,0.5,0.5,14148.293280310012
2022-05-20,0.5,0.5,14062.984509320118
2022-05-23,0.5,0.5,14212.757333158444
2022-05-24,0.5,0.5,14003.752733937625
2022-05-25,0.5,0.5,13982.859910888525
